epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1060.41,1.08358,0.91198,1.20951,0.96787,0.96875,0.98184,0.66008,1.16129,0.6863,1.18424,0.0006734,0.0006734,0.0006734
69,1074.14,1.09365,0.82481,1.20408,0.96824,0.96875,0.97912,0.65596,1.19456,0.70283,1.2056,0.0006536,0.0006536,0.0006536
70,1087.47,1.09118,0.8859,1.23781,0.96614,0.89206,0.96929,0.65812,1.2097,0.69195,1.20977,0.0006338,0.0006338,0.0006338
71,1100.87,1.12181,0.90111,1.22833,0.99088,0.90625,0.9733,0.66737,1.25688,0.67792,1.25106,0.000614,0.000614,0.000614
72,1115.42,1.08141,0.84325,1.20302,0.8753,0.9375,0.94613,0.70044,1.06377,0.66737,1.11378,0.0005942,0.0005942,0.0005942
73,1129.54,1.04546,0.85574,1.19496,0.87864,0.9375,0.94891,0.72136,1.00629,0.62816,1.07301,0.0005744,0.0005744,0.0005744
74,1142.92,1.05992,0.87555,1.20953,0.95815,0.90625,0.98236,0.71965,1.02037,0.64726,1.07492,0.0005546,0.0005546,0.0005546
75,1156.2,1.08078,0.83845,1.22883,0.98093,0.84375,0.94704,0.68522,1.07401,0.68814,1.11869,0.0005348,0.0005348,0.0005348
76,1169.77,1.0672,0.81726,1.19721,1,0.90349,0.97117,0.70008,1.03917,0.72028,1.10378,0.000515,0.000515,0.000515
77,1183.89,1.02058,0.84993,1.20116,0.96366,0.875,0.97195,0.70488,1.04294,0.6859,1.09859,0.0004952,0.0004952,0.0004952
78,1197.78,0.97506,0.77716,1.11536,0.96655,0.90321,0.98098,0.69528,1.02209,0.66912,1.08404,0.0004754,0.0004754,0.0004754
79,1211.24,1.07269,0.80966,1.18187,0.96764,0.93459,0.983,0.69732,1.02007,0.65337,1.08191,0.0004556,0.0004556,0.0004556
80,1224.72,0.99704,0.7932,1.12658,0.93931,0.96739,0.98178,0.70007,1.0662,0.63393,1.09943,0.0004358,0.0004358,0.0004358
81,1239.31,0.99332,0.75905,1.17928,0.9365,0.96875,0.98683,0.70384,1.09342,0.64901,1.1082,0.000416,0.000416,0.000416
